лаборатория,иностранный,межкультурный,07,60,рубеж,партнеры,квалификация,студенческий,инженерный,технология,телефон,кружок,35,лекция,филология,локальный,секретарь,медицина,научный,связьрасписаниеучебно,день,близкий,работыпрактиканаучное,февраль,учащиеся,здравоохранение,02,проект,7,прискорбие,выпускникам,полезный,встреча,180,казанский,химический,физико,и,17,deutsche,300,университетский,образовательный,экология,отчёт,от,конференция,03,финансов,декабрь,м,студенты,univer,всероссийском,информационный,22,карта,цифра,педагогический,популяризатор,пользование,00,единство,по,абитуриенту,420008,зарубежный,приглашать,д,закупки,français,защита,процесс,шаблон,электронный,mail,интернат,кадр,информация,05,студентамшколам,ваш,на,приоритетный,целевой,слабовидящий,кончина,вычислительный,наследие,всех,институты,фирменный,карьер,233,язык,микроскопия,кафедра,отдел,ректор
0.txt,0.00708675799086758,0.00694780195183096,0.0012052309508278195,0.01660958904109589,0.011073059360730593,0.0023466086062475426,0.019685438863521056,0.0011970874984573614,0.005241684904487855,0.0011890533541724126,0.006561812954507019,0.002271396791944737,0.003591262495372084,0.014764079147640791,0.01417351598173516,0.0011811263318112632,0.001213485957340339,0.012654924983692107,0.005678491979861843,0.005241684904487855,0.17716894977168948,0.0031082271889770084,0.029528158295281583,0.17716894977168948,0.02084340585549288,0.08858447488584474,0.002426971914680678,0.012360624402676011,0.0032809064772535094,0.0043211938968704755,0.17716894977168948,0.001042170292774644,0.0011655851958663783,0.00708675799086758,0.04429223744292237,0.00577724836212031,0.0011356983959723685,0.014764079147640791,0.04621798689696248,0.017284775587481902,0.001048336980897571,0.022146118721461185,0.001213485957340339,0.0077511415525114155,0.0011504477257901916,0.001213485957340339,0.0010936354924178365,0.00347390097591548,0.00694780195183096,0.0012052309508278195,0.01417351598173516,0.0023466086062475426,0.0012476686603640104,0.001042170292774644,0.17716894977168948,0.002256929296454643,0.0034513431773705748,0.0023311703917327565,0.001213485957340339,0.0011430254823979968,0.08858447488584474,0.0012052309508278195,0.03280906477253509,0.0012218548260116517,0.010767173743030852,0.002072151459318006,0.0021345656598998736,0.007702997816160413,0.023622526636225265,0.0031082271889770084,0.0012389437046971294,0.001042170292774644,0.01042170292774644,0.003769552122801904,0.0012476686603640104,0.0023622526636225263,0.002147502421475024,0.0011811263318112632,0.0011970874984573614,0.002200856518902975,0.004788349993829446,0.17716894977168948,0.0021345656598998736,0.004867278839881579,0.0012052309508278195,0.0011970874984573614,0.0011356983959723685,0.17716894977168948,0.0011811263318112632,0.0011970874984573614,0.001230339928970066,0.001230339928970066,0.0011655851958663783,0.001213485957340339,0.0031082271889770084,0.0011733043031237713,0.0012389437046971294,0.0011430254823979968,0.0022860509647959935,0.0010240979755588987
1.txt,0.0,0.010640340052104758,0.0018457732743447028,0.0,0.01695804195804196,0.0035937572361413417,0.0,0.0036666036666036664,0.001605495096619357,0.0018209977941521563,0.00837434170767504,0.0034785727093419403,0.0018333018333018332,0.0,0.0,0.0018088578088578087,0.001858415557045694,0.0,0.00869643177335485,0.008027475483096786,0.0,0.0,0.0,0.0,0.0,0.0,0.003716831114091388,0.006309969100666775,0.003349736683070016,0.006617772471431008,0.0,0.0015960510078157136,0.0017850570482149432,0.0,0.0,0.00884767406506537,0.0017392863546709702,0.0,0.04718759501368197,0.0,0.001605495096619357,0.0,0.001858415557045694,0.005087412587412587,0.0017618744891472165,0.001858415557045694,0.001674868341535008,0.0017733900086841262,0.005320170026052379,0.0018457732743447028,0.0,0.0017968786180706708,0.001910765291046981,0.0015960510078157136,0.0,0.0034564161952696983,0.0017618744891472165,0.0035701140964298863,0.001858415557045694,0.00525152267087751,0.0,0.0018457732743447028,0.0,0.0018712322160598022,0.0014990534327550902,0.0015867173761910604,0.0016345100682450082,0.0,0.0,0.0,0.0018974032960046947,0.0015960510078157136,0.0,0.0,0.001910765291046981,0.0036177156177156175,0.0032888323797414707,0.0018088578088578087,0.0018333018333018332,0.0033705425009772838,0.0,0.0,0.0032690201364900164,0.00298163375086452,0.0018457732743447028,0.0018333018333018332,0.0017392863546709702,0.0,0.0018088578088578087,0.0036666036666036664,0.0018842268842268843,0.0018842268842268843,0.0017850570482149432,0.001858415557045694,0.0,0.0035937572361413417,0.0018974032960046947,0.00350101511391834,0.00350101511391834,0.0015683738227090828
10.txt,0.0,0.012250955132455558,0.0021251656862422905,0.0,0.0,0.004137739812948566,0.0,0.0021108064586325454,0.001848516898684123,0.002096639972332998,0.009641955428321504,0.0,0.0021108064586325454,0.0,0.0,0.0020826623725174447,0.0021397216156001145,0.0,0.01001279986787233,0.009242584493420613,0.0,0.0,0.0,0.0,0.0,0.0,0.004279443231200229,0.0,0.005785173256992902,0.0,0.0,0.0018376432698683338,0.002055258920247479,0.0,0.0,0.008489112931456976,0.0020025599735744664,0.0,0.05433032276132465,0.0,0.001848516898684123,0.0,0.0021397216156001145,0.005857487922705313,0.0020285672459585506,0.004279443231200229,0.003856782171328602,0.0020418258554092596,0.0,0.0021251656862422905,0.0,0.002068869906474283,0.004399990927853757,0.0018376432698683338,0.0,0.0039796096290142255,0.0020285672459585506,0.006165776760742436,0.004279443231200229,0.002015479715339463,0.0,0.0021251656862422905,0.0,0.0021544783163973567,0.001725963292141529,0.0018268968179977589,0.001881923830588053,0.0,0.0,0.0,0.004369221760526109,0.0018376432698683338,0.0,0.0,0.0021999954639268784,0.0041653247450348894,0.0018933294295613136,0.0020826623725174447,0.0021108064586325454,0.0077614746801892365,0.0,0.0,0.005645771491764158,0.0017164799773495426,0.0021251656862422905,0.0021108064586325454,0.0020025599735744664,0.0,0.0020826623725174447,0.0021108064586325454,0.0021694399713723385,0.0021694399713723385,0.002055258920247479,0.0021397216156001145,0.0,0.002068869906474283,0.0021846108802630543,0.002015479715339463,0.004030959430678926,0.001805776623570039
100.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019646232784229004,0.0,0.0,0.019646232784229004,0.0,0.0,0.0,0.008253211945886156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007927427263811702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007046602012277069,0.007258849060839632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008033126293995859,0.021908526256352343,0.0,0.0,0.0,0.0,0.0,0.0,0.01324141696812504,0.0,0.0,0.007724159898072941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021139806036831205,0.0,0.0,0.0,0.0,0.0
101.txt,0.008693054518297237,0.00426130123445943,0.0004928035441211585,0.0,0.0,0.0009594982912027856,0.01609824910795785,0.0009789475808893286,0.002571909620797999,0.0004861887314483913,0.0022358679316608118,0.0,0.0,0.0,0.0,0.00048294747323873537,0.0004961789108617144,0.0,0.0013931177112655828,0.006001122448528665,0.0,0.00127091440325983,0.0,0.0,0.0,0.0,0.0,0.0033694009760842007,0.0040245622769894615,0.0,0.0,0.00042613012344594296,0.0014297787036673087,0.0028976848394324122,0.0,0.001968535896353541,0.0009287451408437219,0.0,0.031102867162385948,0.00176688099965391,0.0,0.0,0.0,0.004980395817774459,0.0009408067660494847,0.0004961789108617144,0.0,0.002367389574699683,0.01136346995855848,0.0004928035441211585,0.0,0.0004797491456013928,0.0,0.0,0.0,0.002307073916745551,0.0009408067660494847,0.00047659290122243627,0.0004961789108617144,0.0018694740899563953,0.0,0.000985607088242317,0.0,0.0,0.005603257976803007,0.0004236381344199434,0.00043639831919162843,0.003149657434165666,0.0,0.0,0.0005065882586420302,0.00042613012344594296,0.0042613012344594305,0.001541321723102347,0.0,0.00048294747323873537,0.0,0.0009658949464774707,0.001957895161778657,0.004949461682260332,0.0,0.0,0.0,0.005970504476852497,0.0004928035441211585,0.0004894737904446643,0.0,0.0,0.00048294747323873537,0.0004894737904446643,0.0,0.0005030702846236828,0.0,0.0004961789108617144,0.00127091440325983,0.0009594982912027856,0.0,0.0004673685224890988,0.005141053747380087,0.0016749623349320304
102.txt,0.0,0.00908941832407993,0.001576735831728151,0.007243130227001194,0.0,0.0030699359902521617,0.0,0.004698246633730504,0.0013714802796688653,0.0015555715923760954,0.01144593418587843,0.0,0.0015660822112435013,0.0,0.0,0.001545201115093588,0.0015875353922194398,0.0,0.007428851514873021,0.008228881678013193,0.0,0.0,0.0,0.0,0.0,0.0,0.0031750707844388796,0.026951182240004447,0.0028614835464696076,0.0,0.0,0.0013634127486119895,0.0015248695214739357,0.0,0.0,0.007558048932522986,0.002971540605949208,0.0,0.05794504181600956,0.0,0.0013714802796688653,0.0,0.0015875353922194398,0.005794504181600955,0.0015050660211950535,0.0015875353922194398,0.0014307417732348038,0.003029806108026643,0.0,0.001576735831728151,0.0,0.0015349679951260809,0.0016322546990425225,0.0013634127486119895,0.0,0.002952613595720232,0.0015050660211950535,0.0030497390429478715,0.0015875353922194398,0.004486067753497514,0.0,0.001576735831728151,0.008584450639408823,0.0015984839121657808,0.0025611068205971073,0.0013554395746434983,0.001396266067855652,0.0,0.0,0.004066318723930495,0.0016208403305177498,0.0013634127486119895,0.0,0.0,0.0016322546990425225,0.004635603345280764,0.002809456572897433,0.001545201115093588,0.0015660822112435013,0.002879256736199233,0.0,0.0,0.002792532135711304,0.003820552207648982,0.001576735831728151,0.0015660822112435013,0.001485770302974604,0.0,0.001545201115093588,0.0015660822112435013,0.0016095844948891545,0.0016095844948891545,0.0015248695214739357,0.0015875353922194398,0.0,0.0015349679951260809,0.0016208403305177498,0.0029907118356650095,0.0029907118356650095,0.0013397697529713192
103.txt,0.0,0.00837868186922346,0.0009689632093659783,0.0,0.0,0.001886590619560249,0.0,0.0009624161606540461,0.001685651973689927,0.000955956991790596,0.0043962219684197164,0.0018261229714974208,0.0028872484819621384,0.005934899657366618,0.005697503671071953,0.0009495839451786587,0.0009755999436767042,0.010174113698342773,0.004565307428743552,0.006742607894759708,0.0,0.0049978102377824145,0.0,0.0,0.01675736373844692,0.0,0.0019511998873534084,0.009937506403032478,0.0017584887873678867,0.0,0.0,0.000837868186922346,0.0009370894195842028,0.011395007342143906,0.0,0.010063525505969482,0.0009130614857487104,0.0,0.04102821937049096,0.006948175208624332,0.0008428259868449634,0.0,0.0009755999436767042,0.0035609397944199703,0.0009249194271220703,0.0009755999436767042,0.0017584887873678867,0.0009309646521359399,0.00558578791281564,0.0009689632093659783,0.0,0.0009432953097801245,0.0010030816322309775,0.000837868186922346,0.0,0.0018144916149910677,0.002774758281366211,0.0028112682587526088,0.0009755999436767042,0.0018379044100232107,0.0,0.0009689632093659783,0.00527546636210366,0.0009823282191503367,0.006295584166930334,0.0008329683729637359,0.0017161155635758896,0.0,0.009495839451786588,0.0049978102377824145,0.0009960670753622295,0.000837868186922346,0.0,0.0030305870590808257,0.0010030816322309775,0.0018991678903573174,0.0017265162639611977,0.0009495839451786587,0.0009624161606540461,0.0017694110779726561,0.011548993927848554,0.0,0.0025741733453638347,0.007043617175775767,0.0009689632093659783,0.0009624161606540461,0.0009130614857487104,0.0,0.0009495839451786587,0.0019248323213080921,0.0009891499428944363,0.0009891499428944363,0.0009370894195842028,0.0009755999436767042,0.0,0.007546362478240996,0.0009960670753622295,0.0009189522050116054,0.0027568566150348163,0.0008233386807907446
104.txt,0.0,0.019376868862795035,0.0012604850918399833,0.011580706781279846,0.0,0.004908379033125233,0.0,0.0012519683006789024,0.009867584476356793,0.0012435658288622654,0.005718867546311036,0.0,0.003755904902036707,0.0,0.0,0.0012352753900031835,0.0012691185513731339,0.0,0.005938823990399922,0.009867584476356793,0.0,0.0,0.0,0.0,0.021798977470644416,0.0,0.0025382371027462677,0.012927300593056574,0.0045750940370488285,0.0,0.0,0.0010899488735322208,0.0012190217664505103,0.0,0.0,0.009063161828827706,0.0011877647980799843,0.0,0.036252647315310825,0.0,0.0010963982751507548,0.0,0.0012691185513731339,0.004632282712511938,0.001203190314938166,0.0012691185513731339,0.0022875470185244142,0.0036331629117740695,0.014532651647096278,0.0012604850918399833,0.007411652340019102,0.0012270947582813082,0.0013048683697216728,0.0010899488735322208,0.0,0.0023603988344009876,0.006015951574690831,0.0024380435329010206,0.0012691185513731339,0.0011954277967772746,0.0,0.0012604850918399833,0.0,0.0012778710931067418,0.0030711266602289093,0.0010835749035115647,0.0011162127018101058,0.00805614384784685,0.0,0.0,0.0012957434160872556,0.0010899488735322208,0.0,0.0,0.0026097367394433456,0.003705826170009551,0.0011229776272756215,0.0012352753900031835,0.0012519683006789024,0.00345263307764865,0.005007873202715609,0.0,0.0022324254036202116,0.005090420563199933,0.0025209701836799666,0.0012519683006789024,0.0011877647980799843,0.0,0.0012352753900031835,0.0012519683006789024,0.001286745197919983,0.001286745197919983,0.0012190217664505103,0.0012691185513731339,0.0,0.0012270947582813082,0.0012957434160872556,0.0011954277967772746,0.002390855593554549,0.0010710480260143211
105.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.txt,0.0,0.006140309231037047,0.001065155682934998,0.0,0.0,0.002073879276707877,0.0,0.001057958685077329,0.0009264963632629865,0.0010508582912177496,0.004832650783686564,0.0,0.001057958685077329,0.0,0.0,0.001043852569276298,0.0010724512698044159,0.0,0.00501852196767451,0.004632481816314932,0.0,0.0,0.0,0.0,0.0,0.0,0.0021449025396088318,0.0,0.001933060313474626,0.0038189728144254805,0.0,0.0009210463846555571,0.0010301176670489784,0.0,0.0,0.004254833842158823,0.001003704393534902,0.0,0.04595220549531529,0.0038189728144254805,0.0009264963632629865,0.0,0.0010724512698044159,0.005871670702179177,0.0010167395155288618,0.0010724512698044159,0.010631831724110445,0.001023384871839508,0.015350773077592616,0.002130311365869996,0.0,0.0010369396383539385,0.001102661164728484,0.0009210463846555571,0.0,0.00199462274384006,0.0010167395155288618,0.002060235334097957,0.0010724512698044159,0.0010101799057512563,0.0,0.001065155682934998,0.0,0.0010798474854582395,0.007785640710071836,0.0009156601484879808,0.0018864805468848762,0.0,0.0,0.010987921781855769,0.0010949502474926203,0.0009210463846555571,0.0,0.0,0.001102661164728484,0.002087705138552596,0.000948956881160271,0.001043852569276298,0.001057958685077329,0.0019450668992726052,0.0,0.0,0.0018864805468848762,0.006882544412810756,0.001065155682934998,0.001057958685077329,0.001003704393534902,0.0,0.001043852569276298,0.001057958685077329,0.0010873464263294772,0.0010873464263294772,0.0010301176670489784,0.0010724512698044159,0.0,0.0010369396383539385,0.0010949502474926203,0.003030539717253769,0.00808143924601005,0.0009050744820314723
